---,Actor,Location,Rotation,Scale,Meshes
Row_0,/Script/CoreUObject.Class'/Script/ManorLords.SMBuilding',"(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=-0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/ManorLords/Buildings/Merged/SM_MERGED_C_SG_WoodenBridgeWide.SM_MERGED_C_SG_WoodenBridgeWide'',Materials=(MaterialInstanceConstant'""/Game/ManorLords/Buildings/CommonAssets/UnifiedBeams/Materials/M_UnifiedBeamMaterial_Village_NoPaint""',MaterialInstanceConstant'""/Game/ManorLords/Buildings/CommonAssets/UnifiedGables/Materials/M_UnifiedGable_Floor""')),(StaticMesh=/Script/Engine.StaticMesh'/Game/ManorLords/Buildings/SocketMeshData/SMD_WoodenBridgeWide.SMD_WoodenBridgeWide'',Materials=(Material'""/Engine/EngineMaterials/WorldGridMaterial""')))"
Row_1,/Script/CoreUObject.Class'/Script/ManorLords.SMBuildingMaster',"(X=48397.543059,Y=48317.217569,Z=-1640.619888)","(Pitch=-4.304411,Yaw=-168.375534,Roll=-0.000000)","(X=0.894069,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/NotStronghold/dirtPlane.dirtPlane'',Materials=(Material'""/Game/NotStronghold/Engine/dirtPlaneMaterial""')))"
Row_2,/Script/CoreUObject.Class'/Script/ManorLords.SMBuilding',"(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=-0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/ManorLords/Buildings/Merged/SM_MERGED_C_SG_WoodenBridgeWide.SM_MERGED_C_SG_WoodenBridgeWide'',Materials=(MaterialInstanceConstant'""/Game/ManorLords/Buildings/CommonAssets/UnifiedBeams/Materials/M_UnifiedBeamMaterial_Village_NoPaint""',MaterialInstanceConstant'""/Game/ManorLords/Buildings/CommonAssets/UnifiedGables/Materials/M_UnifiedGable_Floor""')),(StaticMesh=/Script/Engine.StaticMesh'/Game/ManorLords/Buildings/SocketMeshData/SMD_WoodenBridgeWide.SMD_WoodenBridgeWide'',Materials=(Material'""/Engine/EngineMaterials/WorldGridMaterial""')))"
Row_3,/Script/CoreUObject.Class'/Script/ManorLords.SMBuildingMaster',"(X=49008.826014,Y=48442.967987,Z=-1638.090832)","(Pitch=-0.232186,Yaw=-168.375534,Roll=0.000000)","(X=0.891555,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/NotStronghold/dirtPlane.dirtPlane'',Materials=(Material'""/Game/NotStronghold/Engine/dirtPlaneMaterial""')))"
Row_4,/Script/CoreUObject.Class'/Script/ManorLords.SMBuilding',"(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=-0.000000,Yaw=0.000000,Roll=-0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/ManorLords/Buildings/Merged/SM_MERGED_C_SG_WoodenBridgeWide.SM_MERGED_C_SG_WoodenBridgeWide'',Materials=(MaterialInstanceConstant'""/Game/ManorLords/Buildings/CommonAssets/UnifiedBeams/Materials/M_UnifiedBeamMaterial_Village_NoPaint""',MaterialInstanceConstant'""/Game/ManorLords/Buildings/CommonAssets/UnifiedGables/Materials/M_UnifiedGable_Floor""')),(StaticMesh=/Script/Engine.StaticMesh'/Game/ManorLords/Buildings/SocketMeshData/SMD_WoodenBridgeWide.SMD_WoodenBridgeWide'',Materials=(Material'""/Engine/EngineMaterials/WorldGridMaterial""')))"
Row_5,/Script/CoreUObject.Class'/Script/ManorLords.SMBuildingMaster',"(X=49620.108970,Y=48568.718404,Z=-1680.006348)","(Pitch=3.842405,Yaw=-168.375534,Roll=0.000000)","(X=0.893556,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/NotStronghold/dirtPlane.dirtPlane'',Materials=(Material'""/Game/NotStronghold/Engine/dirtPlaneMaterial""')))"
Row_6,/Script/CoreUObject.Class'/Script/ManorLords.SMBuilding',"(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=-0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/ManorLords/Buildings/Merged/SM_MERGED_C_SG_WoodenBridgeWide.SM_MERGED_C_SG_WoodenBridgeWide'',Materials=(MaterialInstanceConstant'""/Game/ManorLords/Buildings/CommonAssets/UnifiedBeams/Materials/M_UnifiedBeamMaterial_Village_NoPaint""',MaterialInstanceConstant'""/Game/ManorLords/Buildings/CommonAssets/UnifiedGables/Materials/M_UnifiedGable_Floor""')),(StaticMesh=/Script/Engine.StaticMesh'/Game/ManorLords/Buildings/SocketMeshData/SMD_WoodenBridgeWide.SMD_WoodenBridgeWide'',Materials=(Material'""/Engine/EngineMaterials/WorldGridMaterial""')))"
Row_7,/Script/CoreUObject.Class'/Script/ManorLords.SMBuildingMaster',"(X=41783.089454,Y=-65936.483157,Z=-1593.783707)","(Pitch=-3.813588,Yaw=13.934432,Roll=0.000000)","(X=1.018799,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/NotStronghold/dirtPlane.dirtPlane'',Materials=(Material'""/Game/NotStronghold/Engine/dirtPlaneMaterial""')))"
Row_8,/Script/CoreUObject.Class'/Script/ManorLords.SMBuilding',"(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/ManorLords/Buildings/Merged/SM_MERGED_C_SG_WoodenBridgeWide.SM_MERGED_C_SG_WoodenBridgeWide'',Materials=(MaterialInstanceConstant'""/Game/ManorLords/Buildings/CommonAssets/UnifiedBeams/Materials/M_UnifiedBeamMaterial_Village_NoPaint""',MaterialInstanceConstant'""/Game/ManorLords/Buildings/CommonAssets/UnifiedGables/Materials/M_UnifiedGable_Floor""')),(StaticMesh=/Script/Engine.StaticMesh'/Game/ManorLords/Buildings/SocketMeshData/SMD_WoodenBridgeWide.SMD_WoodenBridgeWide'',Materials=(Material'""/Engine/EngineMaterials/WorldGridMaterial""')))"
Row_9,/Script/CoreUObject.Class'/Script/ManorLords.SMBuildingMaster',"(X=41092.449625,Y=-66107.839764,Z=-1590.795666)","(Pitch=-0.240593,Yaw=13.934432,Roll=0.000000)","(X=1.016552,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/NotStronghold/dirtPlane.dirtPlane'',Materials=(Material'""/Game/NotStronghold/Engine/dirtPlaneMaterial""')))"
Row_10,/Script/CoreUObject.Class'/Script/ManorLords.SMBuilding',"(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=-0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/ManorLords/Buildings/Merged/SM_MERGED_C_SG_WoodenBridgeWide.SM_MERGED_C_SG_WoodenBridgeWide'',Materials=(MaterialInstanceConstant'""/Game/ManorLords/Buildings/CommonAssets/UnifiedBeams/Materials/M_UnifiedBeamMaterial_Village_NoPaint""',MaterialInstanceConstant'""/Game/ManorLords/Buildings/CommonAssets/UnifiedGables/Materials/M_UnifiedGable_Floor""')),(StaticMesh=/Script/Engine.StaticMesh'/Game/ManorLords/Buildings/SocketMeshData/SMD_WoodenBridgeWide.SMD_WoodenBridgeWide'',Materials=(Material'""/Engine/EngineMaterials/WorldGridMaterial""')))"
Row_11,/Script/CoreUObject.Class'/Script/ManorLords.SMBuildingMaster',"(X=40401.809797,Y=-66279.196372,Z=-1632.251953)","(Pitch=3.334253,Yaw=13.934432,Roll=-0.000000)","(X=1.018267,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/NotStronghold/dirtPlane.dirtPlane'',Materials=(Material'""/Game/NotStronghold/Engine/dirtPlaneMaterial""')))"
Row_12,/Script/CoreUObject.Class'/Script/ManorLords.SMBuilding',"(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=-0.000000,Yaw=-0.000000,Roll=-0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/ManorLords/Buildings/Merged/SM_MERGED_C_SG_WoodenBridgeWide.SM_MERGED_C_SG_WoodenBridgeWide'',Materials=(MaterialInstanceConstant'""/Game/ManorLords/Buildings/CommonAssets/UnifiedBeams/Materials/M_UnifiedBeamMaterial_Village_NoPaint""',MaterialInstanceConstant'""/Game/ManorLords/Buildings/CommonAssets/UnifiedGables/Materials/M_UnifiedGable_Floor""')),(StaticMesh=/Script/Engine.StaticMesh'/Game/ManorLords/Buildings/SocketMeshData/SMD_WoodenBridgeWide.SMD_WoodenBridgeWide'',Materials=(Material'""/Engine/EngineMaterials/WorldGridMaterial""')))"
Row_13,/Script/CoreUObject.Class'/Script/ManorLords.SMBuildingMaster',"(X=55938.677949,Y=27991.753129,Z=-1516.850113)","(Pitch=-3.504316,Yaw=-95.823544,Roll=0.000000)","(X=0.881030,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/NotStronghold/dirtPlane.dirtPlane'',Materials=(Material'""/Game/NotStronghold/Engine/dirtPlaneMaterial""')))"
Row_14,/Script/CoreUObject.Class'/Script/ManorLords.SMBuilding',"(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/ManorLords/Buildings/Merged/SM_MERGED_C_SG_WoodenBridgeWide.SM_MERGED_C_SG_WoodenBridgeWide'',Materials=(MaterialInstanceConstant'""/Game/ManorLords/Buildings/CommonAssets/UnifiedBeams/Materials/M_UnifiedBeamMaterial_Village_NoPaint""',MaterialInstanceConstant'""/Game/ManorLords/Buildings/CommonAssets/UnifiedGables/Materials/M_UnifiedGable_Floor""')),(StaticMesh=/Script/Engine.StaticMesh'/Game/ManorLords/Buildings/SocketMeshData/SMD_WoodenBridgeWide.SMD_WoodenBridgeWide'',Materials=(Material'""/Engine/EngineMaterials/WorldGridMaterial""')))"
Row_15,/Script/CoreUObject.Class'/Script/ManorLords.SMBuildingMaster',"(X=56001.136587,Y=28604.143878,Z=-1523.598400)","(Pitch=0.628092,Yaw=-95.823544,Roll=0.000000)","(X=0.879435,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/NotStronghold/dirtPlane.dirtPlane'',Materials=(Material'""/Game/NotStronghold/Engine/dirtPlaneMaterial""')))"
Row_16,/Script/CoreUObject.Class'/Script/ManorLords.SMBuilding',"(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/ManorLords/Buildings/Merged/SM_MERGED_C_SG_WoodenBridgeWide.SM_MERGED_C_SG_WoodenBridgeWide'',Materials=(MaterialInstanceConstant'""/Game/ManorLords/Buildings/CommonAssets/UnifiedBeams/Materials/M_UnifiedBeamMaterial_Village_NoPaint""',MaterialInstanceConstant'""/Game/ManorLords/Buildings/CommonAssets/UnifiedGables/Materials/M_UnifiedGable_Floor""')),(StaticMesh=/Script/Engine.StaticMesh'/Game/ManorLords/Buildings/SocketMeshData/SMD_WoodenBridgeWide.SMD_WoodenBridgeWide'',Materials=(Material'""/Engine/EngineMaterials/WorldGridMaterial""')))"
Row_17,/Script/CoreUObject.Class'/Script/ManorLords.SMBuildingMaster',"(X=56063.595225,Y=29216.534627,Z=-1574.791016)","(Pitch=4.753965,Yaw=-95.823544,Roll=0.000000)","(X=0.882418,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/NotStronghold/dirtPlane.dirtPlane'',Materials=(Material'""/Game/NotStronghold/Engine/dirtPlaneMaterial""')))"
Row_18,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=-47104.924710,Y=-68805.436376,Z=483.933355)","(Pitch=-2.764416,Yaw=-52.554583,Roll=-62.808636)","(X=4.928346,Y=6.014484,Z=8.081517)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Megascans/3D_Assets/Forest_Rock_Shelf_wgpqfjl/S_Forest_Rock_Shelf_wgpqfjl_lod0_Var1.S_Forest_Rock_Shelf_wgpqfjl_lod0_Var1'',Materials=(MaterialInstanceConstant'""/Game/Megascans/3D_Assets/Forest_Rock_Shelf_wgpqfjl/MI_UnifiedRock_ForestRock""')))"
Row_19,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=-45556.866822,Y=-72596.745401,Z=-959.858886)","(Pitch=2.902579,Yaw=138.736798,Roll=-17.541762)","(X=-2.949271,Y=2.949271,Z=2.949271)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Megascans/3D_Assets/Beach_Cliff_wdqiedw/S_Beach_Cliff_wdqiedw_lod0_Var1.S_Beach_Cliff_wdqiedw_lod0_Var1'',Materials=(MaterialInstanceConstant'""/Game/Megascans/3D_Assets/Beach_Cliff_wdqiedw/MI_UnifiedCliff_Beach_Cliff""')))"
