---,Actor,Location,Rotation,Scale,Meshes
Row_0,/Script/CoreUObject.Class'/Script/Engine.AudioVolume',"(X=19442.666016,Y=9758.326172,Z=221.536057)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=400000.000000,Y=400000.000000,Z=50000.000000)",""
Row_1,/Script/Engine.BlueprintGeneratedClass'/Game/CPP_BP/battlefield_BP.battlefield_BP_C',"(X=-6857.548828,Y=-37341.117188,Z=1401.699219)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_2,/Script/Engine.BlueprintGeneratedClass'/Game/CPP_BP/battlefield_BP.battlefield_BP_C',"(X=88783.304688,Y=-60197.890625,Z=1401.699219)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_3,/Script/Engine.BlueprintGeneratedClass'/Game/CPP_BP/battlefield_BP.battlefield_BP_C',"(X=46967.011719,Y=-77450.500000,Z=1401.699219)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_4,/Script/Engine.BlueprintGeneratedClass'/Game/CPP_BP/battlefield_BP.battlefield_BP_C',"(X=-12400.166016,Y=-62466.164062,Z=1401.699219)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_5,/Script/Engine.BlueprintGeneratedClass'/Game/CPP_BP/battlefield_BP.battlefield_BP_C',"(X=7931.623047,Y=-80736.132812,Z=1401.699219)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_6,/Script/Engine.BlueprintGeneratedClass'/Game/CPP_BP/battlefield_BP.battlefield_BP_C',"(X=-54095.804688,Y=-92676.031250,Z=1401.699219)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_7,/Script/Engine.BlueprintGeneratedClass'/Game/CPP_BP/battlefield_BP.battlefield_BP_C',"(X=-84913.976562,Y=-55346.933594,Z=1401.699219)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_8,/Script/Engine.BlueprintGeneratedClass'/Game/CPP_BP/battlefield_BP.battlefield_BP_C',"(X=-45365.449219,Y=-31668.582031,Z=1401.699219)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_9,/Script/Engine.BlueprintGeneratedClass'/Game/CPP_BP/battlefield_BP.battlefield_BP_C',"(X=-88509.523438,Y=7904.617188,Z=1401.699219)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_10,/Script/Engine.BlueprintGeneratedClass'/Game/CPP_BP/battlefield_BP.battlefield_BP_C',"(X=-92863.273438,Y=52024.234375,Z=1401.699219)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_11,/Script/Engine.BlueprintGeneratedClass'/Game/CPP_BP/battlefield_BP.battlefield_BP_C',"(X=51729.164062,Y=-57807.398438,Z=173.210938)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_12,/Script/Engine.BlueprintGeneratedClass'/Game/CPP_BP/battlefield_BP.battlefield_BP_C',"(X=-52241.601562,Y=65376.046875,Z=1401.699219)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_13,/Script/Engine.BlueprintGeneratedClass'/Game/CPP_BP/battlefield_BP.battlefield_BP_C',"(X=28590.984375,Y=89921.656250,Z=1401.699219)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_14,/Script/Engine.BlueprintGeneratedClass'/Game/CPP_BP/battlefield_BP.battlefield_BP_C',"(X=89396.929688,Y=-818.429688,Z=1401.699219)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_15,/Script/Engine.BlueprintGeneratedClass'/Game/CPP_BP/battlefield_BP.battlefield_BP_C',"(X=-20063.396484,Y=16500.265625,Z=1401.699219)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_16,/Script/Engine.BlueprintGeneratedClass'/Game/CPP_BP/battlefield_BP.battlefield_BP_C',"(X=11854.351562,Y=33116.023438,Z=1401.699219)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_17,/Script/Engine.BlueprintGeneratedClass'/Game/CPP_BP/battlefield_BP.battlefield_BP_C',"(X=89529.140625,Y=33116.023438,Z=4479.964844)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_18,/Script/Engine.BlueprintGeneratedClass'/Game/CPP_BP/battlefield_BP.battlefield_BP_C',"(X=98378.773438,Y=59922.378906,Z=1401.699219)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_19,/Script/Engine.BlueprintGeneratedClass'/Game/CPP_BP/battlefield_BP.battlefield_BP_C',"(X=45149.531250,Y=-3307.821289,Z=1401.699219)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_20,/Script/Engine.BlueprintGeneratedClass'/Game/CPP_BP/battlefield_BP.battlefield_BP_C',"(X=-602.994141,Y=76807.312500,Z=1401.699219)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
